"player.surname","player.givenName","team.name","over15dissies","over20dissies","over25dissies","over30dissies","over35dissies","over40dissies"
"Franklin","Lance","Sydney Swans","23.53%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Frawley","James","St Kilda","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Frederick","Martin","Port Adelaide","25.00%","12.50%","0.00%","0.00%","0.00%","0.00%"
"Frederick","Michael","Fremantle","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Fritsch","Bayley","Melbourne","4.76%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Frost","Sam","Hawthorn","54.55%","4.55%","0.00%","0.00%","0.00%","0.00%"
"Fullarton","Tom","Brisbane Lions","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Fyfe","Nat","Fremantle","100.00%","73.33%","53.33%","20.00%","0.00%","0.00%"
"Gaff","Andrew","West Coast Eagles","100.00%","80.95%","66.67%","47.62%","19.05%","0.00%"
"Garcia","Riley","Western Bulldogs","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Gardiner","Darcy","Brisbane Lions","42.86%","14.29%","0.00%","0.00%","0.00%","0.00%"
"Gardner","Ryan","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Garner","Taylor","North Melbourne","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Garthwaite","Ryan","Richmond","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Gawn","Max","Melbourne","86.36%","31.82%","9.09%","0.00%","0.00%","0.00%"
"Geary","Jarryn","St Kilda","66.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Georgiades","Mitch","Port Adelaide","4.76%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Gibbons","Michael","Carlton","63.64%","9.09%","0.00%","0.00%","0.00%","0.00%"
"Ginnivan","Jack","Collingwood","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Giro","Stefan","Fremantle","50.00%","25.00%","0.00%","0.00%","0.00%","0.00%"
"Gleeson","Martin","Essendon","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Goldstein","Todd","North Melbourne","40.91%","9.09%","0.00%","0.00%","0.00%","0.00%"
"Gollant","Lachlan","Adelaide Crows","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Graham","Caleb","Gold Coast Suns","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Graham","Jack","Richmond","90.91%","36.36%","9.09%","9.09%","4.55%","0.00%"
"Grainger-Barras","Denver","Hawthorn","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Gray","Robbie","Port Adelaide","81.25%","31.25%","12.50%","0.00%","0.00%","0.00%"
"Greaves","Damon","Hawthorn","28.57%","14.29%","0.00%","0.00%","0.00%","0.00%"
"Green","Tom","GWS Giants","88.24%","52.94%","29.41%","0.00%","0.00%","0.00%"
"Greene","Toby","GWS Giants","94.12%","29.41%","0.00%","0.00%","0.00%","0.00%"
"Greenwood","Hugh","Gold Coast Suns","80.00%","40.00%","13.33%","0.00%","0.00%","0.00%"
"Greenwood","Levi","Collingwood","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Gresham","Jade","St Kilda","66.67%","66.67%","66.67%","0.00%","0.00%","0.00%"
"Grimes","Dylan","Richmond","42.86%","4.76%","0.00%","0.00%","0.00%","0.00%"
"Grundy","Brodie","Collingwood","85.00%","50.00%","15.00%","0.00%","0.00%","0.00%"
"Guelfi","Matt","Essendon","31.58%","5.26%","0.00%","0.00%","0.00%","0.00%"
"Gulden","Errol","Sydney Swans","58.82%","11.76%","0.00%","0.00%","0.00%","0.00%"
"Gunston","Jack","Hawthorn","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Guthrie","Cameron","Geelong Cats","100.00%","95.00%","75.00%","50.00%","30.00%","5.00%"
"Guthrie","Zach","Geelong Cats","27.27%","9.09%","9.09%","0.00%","0.00%","0.00%"
"Hall","Aaron","North Melbourne","90.00%","85.00%","75.00%","55.00%","25.00%","0.00%"
"Ham","Brayden","Essendon","42.11%","15.79%","5.26%","0.00%","0.00%","0.00%"
"Hamill","Will","Adelaide Crows","11.76%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Hamling","Joel","Fremantle","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Hannan","Mitch","Western Bulldogs","7.69%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Hannebery","Dan","St Kilda","100.00%","50.00%","0.00%","0.00%","0.00%","0.00%"
"Hanrahan","Oliver","Hawthorn","23.08%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Harbrow","Jarrod","Gold Coast Suns","75.00%","25.00%","0.00%","0.00%","0.00%","0.00%"
"Hardwick","Blake","Hawthorn","90.00%","65.00%","15.00%","5.00%","0.00%","0.00%"
"Harmes","James","Melbourne","100.00%","60.00%","26.67%","6.67%","0.00%","0.00%"
"Hartigan","Kyle","Hawthorn","5.26%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Hartlett","Hamish","Port Adelaide","60.00%","20.00%","10.00%","0.00%","0.00%","0.00%"
"Hartley","Michael","Hawthorn","66.67%","33.33%","33.33%","0.00%","0.00%","0.00%"
"Hately","Jackson","Adelaide Crows","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Hawkins","Tom","Geelong Cats","18.18%","9.09%","0.00%","0.00%","0.00%","0.00%"
"Hayden","Kyron","North Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Haynes","Nick","GWS Giants","78.95%","21.05%","10.53%","0.00%","0.00%","0.00%"
"Hayward","Will","Sydney Swans","15.79%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Heeney","Isaac","Sydney Swans","50.00%","25.00%","0.00%","0.00%","0.00%","0.00%"
"Henderson","Lachie","Geelong Cats","72.22%","22.22%","0.00%","0.00%","0.00%","0.00%"
"Henry","Jack","Geelong Cats","42.86%","4.76%","0.00%","0.00%","0.00%","0.00%"
"Henry","Liam","Fremantle","5.88%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Henry","Oliver","Collingwood","10.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Heppell","Dyson","Essendon","100.00%","100.00%","55.56%","0.00%","0.00%","0.00%"
"Hewett","George","Sydney Swans","60.00%","50.00%","15.00%","5.00%","0.00%","0.00%"
"Hibberd","Michael","Melbourne","46.67%","6.67%","0.00%","0.00%","0.00%","0.00%"
"Hickey","Tom","Sydney Swans","70.00%","20.00%","0.00%","0.00%","0.00%","0.00%"
"Higgins","Jack","St Kilda","52.63%","21.05%","0.00%","0.00%","0.00%","0.00%"
"Higgins","Shaun","Geelong Cats","81.25%","75.00%","18.75%","0.00%","0.00%","0.00%"
"Highmore","Tom","St Kilda","46.15%","15.38%","0.00%","0.00%","0.00%","0.00%"
"Hill","Bobby","GWS Giants","6.25%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Hill","Bradley","St Kilda","81.82%","50.00%","36.36%","4.55%","0.00%","0.00%"
"Himmelberg","Elliott","Adelaide Crows","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Himmelberg","Harry","GWS Giants","36.36%","9.09%","0.00%","0.00%","0.00%","0.00%"
"Hind","Nick","Essendon","95.45%","81.82%","27.27%","9.09%","0.00%","0.00%"
"Hinge","Mitchell","Adelaide Crows","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
